ts_ms,l_knee,r_knee,l_hip,r_hip,symmetry,squat_phase,l_compress,r_compress
19169.2,177.364,175.772,0,3.74805,0.901467,STANDING,0.0288684,0.0248504
19268.8,177.116,176.106,0,3.74805,0.572032,STANDING,0.0116973,0.0081706
19366.2,178,176.217,0,3.74805,1.00682,STANDING,0.0247936,0.0221323
19472.9,177.92,176.449,0,3.74805,0.830273,STANDING,0.0195989,0.0270218
19569.2,176.151,174.99,0,3.74805,0.661184,STANDING,0.00861102,0.0137121
19672.6,176.48,175.308,0,3.74805,0.666213,STANDING,0.000751317,-0.00273991
19772.1,178.619,177.159,0,3.74805,0.820801,STANDING,0.0392481,0.0314775
19866.9,178.116,176.912,0,3.74805,0.678022,STANDING,0.0246588,0.0212775
19967.7,177.545,176.8,0,3.74805,0.420509,STANDING,0.0322285,0.0365008
20074,177.923,176.099,0,3.74805,1.03068,STANDING,0.032479,0.0380751
20167.4,176.902,175.628,0,3.74805,0.722274,STANDING,0.0399209,0.0438592
20266.3,178.571,176.39,0,3.74805,1.22902,STANDING,0.0405363,0.0509962
20367.8,177.487,175.498,0,3.74805,1.12673,STANDING,0.0131364,0.0356969
20470.4,177.595,176.008,0,3.74805,0.897646,STANDING,0.0274686,0.0411197
20568.8,178.786,175.933,0,3.74805,1.60875,STANDING,0.0456676,0.0574411
20667.3,178.46,175.612,0,3.74805,1.60845,STANDING,0.0490198,0.0497397
20771.4,177.76,175.968,0,3.74805,1.01283,STANDING,0.0433475,0.0474337
20871.1,177.857,176.481,0,3.74805,0.776707,STANDING,0.0503322,0.0531647
20969.1,178.162,175.025,0,3.74805,1.77639,STANDING,0.0459776,0.0474041
21073,178.989,175.13,0,3.74805,2.17964,STANDING,0.0404432,0.0416757
21164.3,175.967,174.649,0,3.74805,0.751713,STANDING,0.067129,0.0833606
21270.4,167.136,173.488,0,3.74805,3.72982,SEMI_SQUAT,0.103816,0.102992
21373.8,162.603,171.613,0,3.74805,5.39163,SEMI_SQUAT,0.15685,0.179518
21472.6,157.178,171.257,0,3.74805,8.57392,DEEP_SQUAT,0.270971,0.263134
21573,159.457,167.566,0,3.74805,4.9596,DEEP_SQUAT,0.263312,0.26371
21666.3,162.672,169.51,0,3.74805,4.11689,DEEP_SQUAT,0.255813,0.25836
21771.7,165.757,170.891,0,3.74805,3.04992,SEMI_SQUAT,0.215013,0.216812
21871.2,164.626,168.982,0,3.74805,2.61098,SEMI_SQUAT,0.230186,0.227855
21970.7,167.706,169.09,0,3.74805,0.821447,SEMI_SQUAT,0.215329,0.213386
22065.2,165.613,170.088,0,3.74805,2.66629,SEMI_SQUAT,0.230695,0.244182
22166,165.303,170.644,0,3.74805,3.17969,SEMI_SQUAT,0.213521,0.220204
22270.1,164.979,170.801,0,3.74805,3.46785,SEMI_SQUAT,0.221755,0.220661
22367.3,167.246,168.614,0,3.74805,0.81425,SEMI_SQUAT,0.217026,0.219923
22471.8,165.017,171.652,0,3.74805,3.9418,SEMI_SQUAT,0.205059,0.203293
22563.9,164.781,171.285,0,3.74805,3.87077,SEMI_SQUAT,0.193639,0.205473
22673.3,164.489,170.089,0,3.74805,3.34719,SEMI_SQUAT,0.204563,0.217295
22773.5,163.105,171.942,0,3.74805,5.27463,SEMI_SQUAT,0.209909,0.219276
22873.9,169.49,166.337,0,3.74805,1.87757,SEMI_SQUAT,0.221863,0.229163
23003.6,164.746,168.416,0,3.74805,2.2031,SEMI_SQUAT,0.236817,0.244751
23103,160.878,158.309,0,3.74805,1.60936,DEEP_SQUAT,0.347118,0.371105
23207.6,148.117,159.531,0,3.74805,7.41994,DEEP_SQUAT,0.462915,0.467554
23338.9,138.939,162.336,0,3.74805,15.5321,DEEP_SQUAT,0.505281,0.479798
23436.6,141.929,152.16,0,3.74805,6.95761,DEEP_SQUAT,0.450895,0.440182
23532.2,137.886,141.754,0,3.74805,2.76628,DEEP_SQUAT,0.472734,0.467337
23638.6,143.361,145.734,0,3.74805,1.64166,DEEP_SQUAT,0.448857,0.445314
